# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#      3334	            Omega	  1.67245	0.00000e+00	4	1	 -3	0	0	0	 -1	  1	3.56854e-07
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    1.60874e-01	    1.67245e+00	    1.51360e-06	    1.53021e-06	    3.87523e-08	    5.96310e-08	    3.92060e-08	    2.65285e-06	    2.69523e-06	    1.76544e-05	    1.79126e-05	    2.42347e-07	    3.17778e-07	    2.45105e-07
    1.64595e-01	    1.67245e+00	    1.54479e-06	    1.56173e-06	    4.14018e-08	    6.27093e-08	    4.18865e-08	    2.70559e-06	    2.74881e-06	    1.80220e-05	    1.82855e-05	    2.53062e-07	    3.28300e-07	    2.55941e-07
    1.68320e-01	    1.67245e+00	    1.57576e-06	    1.59303e-06	    4.41657e-08	    6.58988e-08	    4.46826e-08	    2.75783e-06	    2.80190e-06	    1.83873e-05	    1.86560e-05	    2.63980e-07	    3.39020e-07	    2.66982e-07
    1.72050e-01	    1.67245e+00	    1.60651e-06	    1.62411e-06	    4.70458e-08	    6.92014e-08	    4.75963e-08	    2.80956e-06	    2.85446e-06	    1.87504e-05	    1.90243e-05	    2.75097e-07	    3.49935e-07	    2.78224e-07
    1.75785e-01	    1.67245e+00	    1.63704e-06	    1.65497e-06	    5.00441e-08	    7.26190e-08	    5.06295e-08	    2.86078e-06	    2.90650e-06	    1.91110e-05	    1.93901e-05	    2.86410e-07	    3.61043e-07	    2.89665e-07
    1.79525e-01	    1.67245e+00	    1.66733e-06	    1.68559e-06	    5.31624e-08	    7.61535e-08	    5.37841e-08	    2.91146e-06	    2.95799e-06	    1.94693e-05	    1.97535e-05	    2.97918e-07	    3.72341e-07	    3.01302e-07
    1.83269e-01	    1.67245e+00	    1.69740e-06	    1.71598e-06	    5.64028e-08	    7.98066e-08	    5.70621e-08	    2.96161e-06	    3.00895e-06	    1.98252e-05	    2.01144e-05	    3.09617e-07	    3.83827e-07	    3.13133e-07
    1.87019e-01	    1.67245e+00	    1.72723e-06	    1.74613e-06	    5.97669e-08	    8.35800e-08	    6.04654e-08	    3.01120e-06	    3.05934e-06	    2.01785e-05	    2.04727e-05	    3.21505e-07	    3.95497e-07	    3.25155e-07
    1.90773e-01	    1.67245e+00	    1.75682e-06	    1.77604e-06	    6.32565e-08	    8.74756e-08	    6.39956e-08	    3.06024e-06	    3.10917e-06	    2.05293e-05	    2.08285e-05	    3.33578e-07	    4.07349e-07	    3.37364e-07
    1.94533e-01	    1.67245e+00	    1.78616e-06	    1.80569e-06	    6.68734e-08	    9.14950e-08	    6.76545e-08	    3.10871e-06	    3.15842e-06	    2.08775e-05	    2.11816e-05	    3.45834e-07	    4.19379e-07	    3.49758e-07
    1.98298e-01	    1.67245e+00	    1.81524e-06	    1.83509e-06	    7.06193e-08	    9.56397e-08	    7.14439e-08	    3.15660e-06	    3.20708e-06	    2.12230e-05	    2.15320e-05	    3.58270e-07	    4.31585e-07	    3.62334e-07
    2.02068e-01	    1.67245e+00	    1.84408e-06	    1.86423e-06	    7.44959e-08	    9.99115e-08	    7.53654e-08	    3.20391e-06	    3.25515e-06	    2.15659e-05	    2.18797e-05	    3.70883e-07	    4.43965e-07	    3.75088e-07
    2.05844e-01	    1.67245e+00	    1.87265e-06	    1.89311e-06	    7.85046e-08	    1.04312e-07	    7.94207e-08	    3.25062e-06	    3.30262e-06	    2.19060e-05	    2.22246e-05	    3.83669e-07	    4.56514e-07	    3.88018e-07
    2.09626e-01	    1.67245e+00	    1.90096e-06	    1.92172e-06	    8.26472e-08	    1.08842e-07	    8.36113e-08	    3.29673e-06	    3.34946e-06	    2.22433e-05	    2.25666e-05	    3.96626e-07	    4.69229e-07	    4.01120e-07
    2.13413e-01	    1.67245e+00	    1.92901e-06	    1.95006e-06	    8.69251e-08	    1.13504e-07	    8.79387e-08	    3.34222e-06	    3.39569e-06	    2.25778e-05	    2.29058e-05	    4.09751e-07	    4.82108e-07	    4.14391e-07
    2.17206e-01	    1.67245e+00	    1.95678e-06	    1.97813e-06	    9.13397e-08	    1.18299e-07	    9.24045e-08	    3.38708e-06	    3.44128e-06	    2.29094e-05	    2.32420e-05	    4.23039e-07	    4.95147e-07	    4.27828e-07
    2.21006e-01	    1.67245e+00	    1.98427e-06	    2.00591e-06	    9.58925e-08	    1.23228e-07	    9.70100e-08	    3.43132e-06	    3.48623e-06	    2.32381e-05	    2.35753e-05	    4.36488e-07	    5.08343e-07	    4.41428e-07
    2.24811e-01	    1.67245e+00	    2.01148e-06	    2.03341e-06	    1.00585e-07	    1.28292e-07	    1.01757e-07	    3.47491e-06	    3.53053e-06	    2.35638e-05	    2.39055e-05	    4.50095e-07	    5.21693e-07	    4.55186e-07
    2.28622e-01	    1.67245e+00	    2.03841e-06	    2.06062e-06	    1.05418e-07	    1.33493e-07	    1.06646e-07	    3.51786e-06	    3.57417e-06	    2.38865e-05	    2.42327e-05	    4.63855e-07	    5.35193e-07	    4.69100e-07
    2.32440e-01	    1.67245e+00	    2.06504e-06	    2.08754e-06	    1.10393e-07	    1.38833e-07	    1.11678e-07	    3.56015e-06	    3.61714e-06	    2.42061e-05	    2.45567e-05	    4.77766e-07	    5.48839e-07	    4.83166e-07
    2.36265e-01	    1.67245e+00	    2.09139e-06	    2.11415e-06	    1.15512e-07	    1.44311e-07	    1.16856e-07	    3.60177e-06	    3.65944e-06	    2.45226e-05	    2.48776e-05	    4.91824e-07	    5.62629e-07	    4.97380e-07
    2.40095e-01	    1.67245e+00	    2.11743e-06	    2.14047e-06	    1.20775e-07	    1.49930e-07	    1.22180e-07	    3.64271e-06	    3.70105e-06	    2.48359e-05	    2.51952e-05	    5.06025e-07	    5.76558e-07	    5.11739e-07
    2.43933e-01	    1.67245e+00	    2.14317e-06	    2.16648e-06	    1.26184e-07	    1.55690e-07	    1.27651e-07	    3.68297e-06	    3.74196e-06	    2.51460e-05	    2.55096e-05	    5.20365e-07	    5.90623e-07	    5.26239e-07
    2.47777e-01	    1.67245e+00	    2.16861e-06	    2.19219e-06	    1.31739e-07	    1.61592e-07	    1.33270e-07	    3.72254e-06	    3.78217e-06	    2.54529e-05	    2.58206e-05	    5.34842e-07	    6.04820e-07	    5.40877e-07
    2.51628e-01	    1.67245e+00	    2.19374e-06	    2.21757e-06	    1.37442e-07	    1.67637e-07	    1.39038e-07	    3.76141e-06	    3.82168e-06	    2.57564e-05	    2.61283e-05	    5.49451e-07	    6.19146e-07	    5.55648e-07
    2.55487e-01	    1.67245e+00	    2.21855e-06	    2.24264e-06	    1.43293e-07	    1.73827e-07	    1.44957e-07	    3.79958e-06	    3.86046e-06	    2.60566e-05	    2.64326e-05	    5.64188e-07	    6.33597e-07	    5.70548e-07
    2.59352e-01	    1.67245e+00	    2.24304e-06	    2.26739e-06	    1.49294e-07	    1.80161e-07	    1.51027e-07	    3.83703e-06	    3.89852e-06	    2.63535e-05	    2.67335e-05	    5.79050e-07	    6.48169e-07	    5.85574e-07
    2.63225e-01	    1.67245e+00	    2.26721e-06	    2.29181e-06	    1.55445e-07	    1.86640e-07	    1.57248e-07	    3.87375e-06	    3.93584e-06	    2.66469e-05	    2.70308e-05	    5.94032e-07	    6.62857e-07	    6.00722e-07
    2.67105e-01	    1.67245e+00	    2.29105e-06	    2.31590e-06	    1.61746e-07	    1.93267e-07	    1.63622e-07	    3.90975e-06	    3.97243e-06	    2.69368e-05	    2.73246e-05	    6.09132e-07	    6.77659e-07	    6.15988e-07
    2.70992e-01	    1.67245e+00	    2.31457e-06	    2.33966e-06	    1.68200e-07	    2.00039e-07	    1.70150e-07	    3.94501e-06	    4.00826e-06	    2.72231e-05	    2.76149e-05	    6.24343e-07	    6.92570e-07	    6.31368e-07
    2.74887e-01	    1.67245e+00	    2.33775e-06	    2.36307e-06	    1.74805e-07	    2.06960e-07	    1.76831e-07	    3.97952e-06	    4.04334e-06	    2.75059e-05	    2.79014e-05	    6.39663e-07	    7.07585e-07	    6.46856e-07
    2.78790e-01	    1.67245e+00	    2.36059e-06	    2.38615e-06	    1.81564e-07	    2.14028e-07	    1.83666e-07	    4.01328e-06	    4.07765e-06	    2.77851e-05	    2.81844e-05	    6.55088e-07	    7.22702e-07	    6.62451e-07
    2.82701e-01	    1.67245e+00	    2.38309e-06	    2.40887e-06	    1.88475e-07	    2.21245e-07	    1.90657e-07	    4.04629e-06	    4.11120e-06	    2.80607e-05	    2.84635e-05	    6.70613e-07	    7.37916e-07	    6.78146e-07
    2.86620e-01	    1.67245e+00	    2.40524e-06	    2.43125e-06	    1.95540e-07	    2.28610e-07	    1.97803e-07	    4.07852e-06	    4.14396e-06	    2.83325e-05	    2.87390e-05	    6.86233e-07	    7.53222e-07	    6.93938e-07
    2.90547e-01	    1.67245e+00	    2.42704e-06	    2.45328e-06	    2.02760e-07	    2.36125e-07	    2.05105e-07	    4.10999e-06	    4.17594e-06	    2.86006e-05	    2.90106e-05	    7.01945e-07	    7.68616e-07	    7.09823e-07
    2.94483e-01	    1.67245e+00	    2.44849e-06	    2.47494e-06	    2.10133e-07	    2.43789e-07	    2.12562e-07	    4.14067e-06	    4.20713e-06	    2.88649e-05	    2.92783e-05	    7.17745e-07	    7.84094e-07	    7.25795e-07
    2.98426e-01	    1.67245e+00	    2.46959e-06	    2.49625e-06	    2.17661e-07	    2.51602e-07	    2.20176e-07	    4.17057e-06	    4.23752e-06	    2.91253e-05	    2.95422e-05	    7.33628e-07	    7.99652e-07	    7.41851e-07
    3.02379e-01	    1.67245e+00	    2.49032e-06	    2.51719e-06	    2.25344e-07	    2.59565e-07	    2.27946e-07	    4.19968e-06	    4.26711e-06	    2.93819e-05	    2.98021e-05	    7.49589e-07	    8.15285e-07	    7.57987e-07
    3.06340e-01	    1.67245e+00	    2.51069e-06	    2.53776e-06	    2.33181e-07	    2.67677e-07	    2.35873e-07	    4.22799e-06	    4.29589e-06	    2.96346e-05	    3.00581e-05	    7.65624e-07	    8.30989e-07	    7.74196e-07
    3.10309e-01	    1.67245e+00	    2.53069e-06	    2.55796e-06	    2.41173e-07	    2.75939e-07	    2.43955e-07	    4.25550e-06	    4.32385e-06	    2.98833e-05	    3.03100e-05	    7.81728e-07	    8.46759e-07	    7.90476e-07
    3.14288e-01	    1.67245e+00	    2.55032e-06	    2.57778e-06	    2.49320e-07	    2.84350e-07	    2.52195e-07	    4.28219e-06	    4.35099e-06	    3.01280e-05	    3.05578e-05	    7.97898e-07	    8.62590e-07	    8.06821e-07
