# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#       321	               K+	  0.49400	0.00000e+00	1	0	  1	0	0	0.5	  1	  1	0.000115181
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    2.17206e-01	    4.94000e-01	    8.46944e-03	    1.07959e-02	    6.43736e-04	    1.66317e-03	    7.98983e-04	    3.69613e-03	    5.92978e-03	    4.72187e-02	    6.66069e-02	    2.18946e-03	    4.70378e-03	    2.75580e-03
    2.21006e-01	    4.94000e-01	    8.50942e-03	    1.08419e-02	    6.66359e-04	    1.68982e-03	    8.26818e-04	    3.66844e-03	    5.90391e-03	    4.74656e-02	    6.69394e-02	    2.23377e-03	    4.71835e-03	    2.81064e-03
    2.24811e-01	    4.94000e-01	    8.54578e-03	    1.08832e-02	    6.89067e-04	    1.71611e-03	    8.54740e-04	    3.63841e-03	    5.87461e-03	    4.76934e-02	    6.72443e-02	    2.27731e-03	    4.73208e-03	    2.86448e-03
    2.28622e-01	    4.94000e-01	    8.57856e-03	    1.09199e-02	    7.11837e-04	    1.74203e-03	    8.82718e-04	    3.60613e-03	    5.84201e-03	    4.79024e-02	    6.75218e-02	    2.32006e-03	    4.74497e-03	    2.91726e-03
    2.32440e-01	    4.94000e-01	    8.60781e-03	    1.09519e-02	    7.34646e-04	    1.76756e-03	    9.10724e-04	    3.57168e-03	    5.80621e-03	    4.80928e-02	    6.77724e-02	    2.36198e-03	    4.75697e-03	    2.96896e-03
    2.36265e-01	    4.94000e-01	    8.63356e-03	    1.09794e-02	    7.57472e-04	    1.79268e-03	    9.38730e-04	    3.53514e-03	    5.76731e-03	    4.82648e-02	    6.79963e-02	    2.40305e-03	    4.76809e-03	    3.01954e-03
    2.40095e-01	    4.94000e-01	    8.65587e-03	    1.10024e-02	    7.80291e-04	    1.81738e-03	    9.66707e-04	    3.49661e-03	    5.72543e-03	    4.84188e-02	    6.81940e-02	    2.44324e-03	    4.77831e-03	    3.06896e-03
    2.43933e-01	    4.94000e-01	    8.67479e-03	    1.10210e-02	    8.03082e-04	    1.84164e-03	    9.94628e-04	    3.45616e-03	    5.68068e-03	    4.85549e-02	    6.83657e-02	    2.48252e-03	    4.78762e-03	    3.11719e-03
    2.47777e-01	    4.94000e-01	    8.69036e-03	    1.10352e-02	    8.25822e-04	    1.86546e-03	    1.02247e-03	    3.41389e-03	    5.63318e-03	    4.86734e-02	    6.85120e-02	    2.52087e-03	    4.79599e-03	    3.16421e-03
    2.51628e-01	    4.94000e-01	    8.70263e-03	    1.10452e-02	    8.48491e-04	    1.88881e-03	    1.05019e-03	    3.36988e-03	    5.58302e-03	    4.87747e-02	    6.86332e-02	    2.55827e-03	    4.80343e-03	    3.20999e-03
    2.55487e-01	    4.94000e-01	    8.71166e-03	    1.10510e-02	    8.71067e-04	    1.91168e-03	    1.07779e-03	    3.32421e-03	    5.53034e-03	    4.88591e-02	    6.87297e-02	    2.59470e-03	    4.80992e-03	    3.25450e-03
    2.59352e-01	    4.94000e-01	    8.71750e-03	    1.10527e-02	    8.93530e-04	    1.93406e-03	    1.10522e-03	    3.27697e-03	    5.47523e-03	    4.89267e-02	    6.88019e-02	    2.63014e-03	    4.81546e-03	    3.29772e-03
    2.63225e-01	    4.94000e-01	    8.72021e-03	    1.10504e-02	    9.15860e-04	    1.95594e-03	    1.13246e-03	    3.22825e-03	    5.41781e-03	    4.89780e-02	    6.88503e-02	    2.66456e-03	    4.82003e-03	    3.33963e-03
    2.67105e-01	    4.94000e-01	    8.71984e-03	    1.10440e-02	    9.38037e-04	    1.97731e-03	    1.15950e-03	    3.17812e-03	    5.35819e-03	    4.90131e-02	    6.88753e-02	    2.69797e-03	    4.82364e-03	    3.38021e-03
    2.70992e-01	    4.94000e-01	    8.71645e-03	    1.10338e-02	    9.60042e-04	    1.99815e-03	    1.18630e-03	    3.12668e-03	    5.29648e-03	    4.90326e-02	    6.88773e-02	    2.73033e-03	    4.82628e-03	    3.41945e-03
    2.74887e-01	    4.94000e-01	    8.71010e-03	    1.10198e-02	    9.81857e-04	    2.01845e-03	    1.21284e-03	    3.07401e-03	    5.23279e-03	    4.90365e-02	    6.88569e-02	    2.76164e-03	    4.82795e-03	    3.45732e-03
    2.78790e-01	    4.94000e-01	    8.70084e-03	    1.10021e-02	    1.00346e-03	    2.03822e-03	    1.23911e-03	    3.02018e-03	    5.16723e-03	    4.90254e-02	    6.88143e-02	    2.79189e-03	    4.82864e-03	    3.49382e-03
    2.82701e-01	    4.94000e-01	    8.68875e-03	    1.09807e-02	    1.02485e-03	    2.05743e-03	    1.26508e-03	    2.96528e-03	    5.09991e-03	    4.89994e-02	    6.87502e-02	    2.82106e-03	    4.82835e-03	    3.52893e-03
    2.86620e-01	    4.94000e-01	    8.67387e-03	    1.09558e-02	    1.04599e-03	    2.07607e-03	    1.29072e-03	    2.90939e-03	    5.03092e-03	    4.89589e-02	    6.86649e-02	    2.84915e-03	    4.82709e-03	    3.56265e-03
    2.90547e-01	    4.94000e-01	    8.65627e-03	    1.09274e-02	    1.06687e-03	    2.09415e-03	    1.31603e-03	    2.85259e-03	    4.96038e-03	    4.89043e-02	    6.85589e-02	    2.87616e-03	    4.82486e-03	    3.59497e-03
    2.94483e-01	    4.94000e-01	    8.63601e-03	    1.08956e-02	    1.08748e-03	    2.11165e-03	    1.34099e-03	    2.79496e-03	    4.88839e-03	    4.88358e-02	    6.84328e-02	    2.90206e-03	    4.82165e-03	    3.62587e-03
    2.98426e-01	    4.94000e-01	    8.61316e-03	    1.08605e-02	    1.10780e-03	    2.12857e-03	    1.36556e-03	    2.73656e-03	    4.81504e-03	    4.87539e-02	    6.82869e-02	    2.92687e-03	    4.81748e-03	    3.65536e-03
    3.02379e-01	    4.94000e-01	    8.58777e-03	    1.08222e-02	    1.12782e-03	    2.14490e-03	    1.38975e-03	    2.67748e-03	    4.74045e-03	    4.86587e-02	    6.81218e-02	    2.95058e-03	    4.81234e-03	    3.68344e-03
    3.06340e-01	    4.94000e-01	    8.55991e-03	    1.07807e-02	    1.14752e-03	    2.16064e-03	    1.41353e-03	    2.61780e-03	    4.66470e-03	    4.85506e-02	    6.79378e-02	    2.97317e-03	    4.80624e-03	    3.71010e-03
    3.10309e-01	    4.94000e-01	    8.52964e-03	    1.07362e-02	    1.16690e-03	    2.17578e-03	    1.43688e-03	    2.55757e-03	    4.58789e-03	    4.84301e-02	    6.77356e-02	    2.99466e-03	    4.79919e-03	    3.73533e-03
    3.14288e-01	    4.94000e-01	    8.49702e-03	    1.06888e-02	    1.18594e-03	    2.19032e-03	    1.45980e-03	    2.49687e-03	    4.51012e-03	    4.82973e-02	    6.75155e-02	    3.01505e-03	    4.79120e-03	    3.75915e-03
    3.18276e-01	    4.94000e-01	    8.46212e-03	    1.06384e-02	    1.20462e-03	    2.20426e-03	    1.48227e-03	    2.43577e-03	    4.43148e-03	    4.81526e-02	    6.72781e-02	    3.03432e-03	    4.78227e-03	    3.78156e-03
    3.22273e-01	    4.94000e-01	    8.42499e-03	    1.05853e-02	    1.22295e-03	    2.21759e-03	    1.50428e-03	    2.37434e-03	    4.35205e-03	    4.79964e-02	    6.70238e-02	    3.05249e-03	    4.77241e-03	    3.80256e-03
    3.26279e-01	    4.94000e-01	    8.38571e-03	    1.05295e-02	    1.24090e-03	    2.23031e-03	    1.52581e-03	    2.31264e-03	    4.27193e-03	    4.78289e-02	    6.67530e-02	    3.06956e-03	    4.76163e-03	    3.82215e-03
    3.30295e-01	    4.94000e-01	    8.34434e-03	    1.04710e-02	    1.25847e-03	    2.24242e-03	    1.54685e-03	    2.25073e-03	    4.19120e-03	    4.76505e-02	    6.64663e-02	    3.08553e-03	    4.74994e-03	    3.84034e-03
