# mc-number	             name	     mass	    width	deg	Qb	Qs	Qc	Qbot	isospin	charge	decays	   Nyield
#      3312	             Ksi-	  1.32131	0.00000e+00	2	1	 -2	0	0	0.5	 -1	  1	3.14993e-06
# 1:pbar [GeV]	2:m [GeV]	3:Feq 1	4:Feq 2	5:Fshear 1	6:Fshear 2	7:Fshear 3	8:Fbulk 1	9:Fbulk 2	10:Ftemp 1	11:Ftemp 2	12:Fvel 1	13:Fvel 2	14:Fvel 3
    1.38634e-01	    1.32131e+00	    3.48972e-05	    3.64299e-05	    7.98471e-07	    2.51368e-06	    8.38441e-07	    5.26356e-05	    5.59182e-05	    3.63676e-04	    3.80330e-04	    5.25576e-06	    1.16451e-05	    5.50263e-06
    1.42331e-01	    1.32131e+00	    3.57229e-05	    3.72911e-05	    8.61492e-07	    2.61690e-06	    9.04595e-07	    5.38303e-05	    5.71865e-05	    3.72374e-04	    3.89418e-04	    5.52346e-06	    1.18928e-05	    5.78277e-06
    1.46031e-01	    1.32131e+00	    3.65417e-05	    3.81450e-05	    9.27604e-07	    2.72284e-06	    9.73993e-07	    5.50106e-05	    5.84394e-05	    3.81005e-04	    3.98435e-04	    5.79679e-06	    1.21457e-05	    6.06880e-06
    1.49736e-01	    1.32131e+00	    3.73531e-05	    3.89912e-05	    9.96865e-07	    2.83155e-06	    1.04669e-06	    5.61762e-05	    5.96766e-05	    3.89567e-04	    4.07380e-04	    6.07568e-06	    1.24036e-05	    6.36062e-06
    1.53444e-01	    1.32131e+00	    3.81572e-05	    3.98297e-05	    1.06933e-06	    2.94306e-06	    1.12275e-06	    5.73268e-05	    6.08979e-05	    3.98059e-04	    4.16258e-04	    6.36001e-06	    1.26666e-05	    6.65813e-06
    1.57157e-01	    1.32131e+00	    3.89538e-05	    4.06602e-05	    1.14505e-06	    3.05743e-06	    1.20222e-06	    5.84621e-05	    6.21028e-05	    4.06480e-04	    4.25047e-04	    6.64968e-06	    1.29344e-05	    6.96121e-06
    1.60874e-01	    1.32131e+00	    3.97426e-05	    4.14826e-05	    1.22408e-06	    3.17469e-06	    1.28516e-06	    5.95818e-05	    6.32911e-05	    4.14828e-04	    4.33766e-04	    6.94460e-06	    1.32070e-05	    7.26976e-06
    1.64595e-01	    1.32131e+00	    4.05236e-05	    4.22967e-05	    1.30646e-06	    3.29490e-06	    1.37162e-06	    6.06856e-05	    6.44625e-05	    4.23101e-04	    4.42406e-04	    7.24464e-06	    1.34843e-05	    7.58367e-06
    1.68320e-01	    1.32131e+00	    4.12966e-05	    4.31024e-05	    1.39224e-06	    3.41808e-06	    1.46164e-06	    6.17733e-05	    6.56166e-05	    4.31298e-04	    4.50965e-04	    7.54971e-06	    1.37661e-05	    7.90281e-06
    1.72050e-01	    1.32131e+00	    4.20613e-05	    4.38995e-05	    1.48148e-06	    3.54428e-06	    1.55528e-06	    6.28445e-05	    6.67532e-05	    4.39417e-04	    4.59443e-04	    7.85969e-06	    1.40524e-05	    8.22707e-06
    1.75785e-01	    1.32131e+00	    4.28178e-05	    4.46879e-05	    1.57420e-06	    3.67353e-06	    1.65258e-06	    6.38990e-05	    6.78719e-05	    4.47457e-04	    4.67837e-04	    8.17447e-06	    1.43430e-05	    8.55633e-06
    1.79525e-01	    1.32131e+00	    4.35658e-05	    4.54673e-05	    1.67046e-06	    3.80586e-06	    1.75358e-06	    6.49364e-05	    6.89725e-05	    4.55417e-04	    4.76147e-04	    8.49393e-06	    1.46379e-05	    8.89047e-06
    1.83269e-01	    1.32131e+00	    4.43051e-05	    4.62377e-05	    1.77030e-06	    3.94131e-06	    1.85833e-06	    6.59566e-05	    7.00547e-05	    4.63294e-04	    4.84369e-04	    8.81796e-06	    1.49369e-05	    9.22936e-06
    1.87019e-01	    1.32131e+00	    4.50357e-05	    4.69989e-05	    1.87374e-06	    4.07991e-06	    1.96686e-06	    6.69593e-05	    7.11182e-05	    4.71088e-04	    4.92504e-04	    9.14644e-06	    1.52400e-05	    9.57289e-06
    1.90773e-01	    1.32131e+00	    4.57574e-05	    4.77506e-05	    1.98083e-06	    4.22168e-06	    2.07921e-06	    6.79442e-05	    7.21627e-05	    4.78797e-04	    5.00549e-04	    9.47925e-06	    1.55469e-05	    9.92092e-06
    1.94533e-01	    1.32131e+00	    4.64700e-05	    4.84929e-05	    2.09160e-06	    4.36665e-06	    2.19541e-06	    6.89111e-05	    7.31881e-05	    4.86419e-04	    5.08504e-04	    9.81625e-06	    1.58576e-05	    1.02733e-05
    1.98298e-01	    1.32131e+00	    4.71734e-05	    4.92255e-05	    2.20608e-06	    4.51485e-06	    2.31549e-06	    6.98597e-05	    7.41939e-05	    4.93954e-04	    5.16365e-04	    1.01573e-05	    1.61719e-05	    1.06300e-05
    2.02068e-01	    1.32131e+00	    4.78675e-05	    4.99483e-05	    2.32429e-06	    4.66629e-06	    2.43950e-06	    7.07897e-05	    7.51800e-05	    5.01400e-04	    5.24133e-04	    1.05024e-05	    1.64898e-05	    1.09907e-05
    2.05844e-01	    1.32131e+00	    4.85521e-05	    5.06611e-05	    2.44628e-06	    4.82100e-06	    2.56744e-06	    7.17010e-05	    7.61461e-05	    5.08755e-04	    5.31805e-04	    1.08512e-05	    1.68111e-05	    1.13554e-05
    2.09626e-01	    1.32131e+00	    4.92271e-05	    5.13638e-05	    2.57205e-06	    4.97899e-06	    2.69935e-06	    7.25934e-05	    7.70920e-05	    5.16018e-04	    5.39381e-04	    1.12038e-05	    1.71357e-05	    1.17240e-05
    2.13413e-01	    1.32131e+00	    4.98923e-05	    5.20563e-05	    2.70164e-06	    5.14028e-06	    2.83526e-06	    7.34665e-05	    7.80174e-05	    5.23188e-04	    5.46858e-04	    1.15599e-05	    1.74635e-05	    1.20962e-05
    2.17206e-01	    1.32131e+00	    5.05477e-05	    5.27384e-05	    2.83506e-06	    5.30489e-06	    2.97517e-06	    7.43202e-05	    7.89221e-05	    5.30263e-04	    5.54235e-04	    1.19195e-05	    1.77942e-05	    1.24720e-05
    2.21006e-01	    1.32131e+00	    5.11931e-05	    5.34100e-05	    2.97233e-06	    5.47281e-06	    3.11911e-06	    7.51543e-05	    7.98059e-05	    5.37243e-04	    5.61512e-04	    1.22823e-05	    1.81279e-05	    1.28513e-05
    2.24811e-01	    1.32131e+00	    5.18283e-05	    5.40709e-05	    3.11346e-06	    5.64407e-06	    3.26710e-06	    7.59686e-05	    8.06686e-05	    5.44125e-04	    5.68686e-04	    1.26483e-05	    1.84643e-05	    1.32338e-05
    2.28622e-01	    1.32131e+00	    5.24533e-05	    5.47211e-05	    3.25848e-06	    5.81867e-06	    3.41914e-06	    7.67629e-05	    8.15100e-05	    5.50909e-04	    5.75757e-04	    1.30173e-05	    1.88034e-05	    1.36194e-05
    2.32440e-01	    1.32131e+00	    5.30679e-05	    5.53604e-05	    3.40738e-06	    5.99661e-06	    3.57525e-06	    7.75369e-05	    8.23298e-05	    5.57593e-04	    5.82722e-04	    1.33892e-05	    1.91450e-05	    1.40079e-05
